HotelName,HotelDescription,PriceRange
Urban Lodge Hotel,"LocationThis lodge is located in Amsterdam. The nearest airport is Amsterdam (AMS).FacilitiesThe hotel has a reception desk and features 120 rooms. Valuables can be stored safely and conveniently in the safe. Wireless internet access in public areas allows guests to stay connected. A fireplace creates a cosy atmosphere. Guests arriving by car can park their vehicles in the car park.RoomsAir conditioning ensures that rooms maintain comfortable temperatures. Rooms include a double bed. A safe provides secure storage for guests' personal property. Guests will also find a refrigerator included among the standard features. Equipped with a telephone, a TV and WiFi, the rooms provide many ways for guests to stay connected and entertained. A hairdryer is provided in the bathrooms. Family rooms are available for parents with children.Sports/EntertainmentAfter an eventful day, guests can work out and recharge in the gym. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971MealsThe dining area includes a restaurant and a bar. A generous breakfast buffet guarantees a great start to the day.",EUR 42 - EUR 84
Pensiunea Element,"Situated in Alba Iulia, within 2.5 km of Alba Iulia Citadel - The Third Gate and 2.3 km of Alba Carolina Citadel, Pensiunea Element features accommodation with a terrace and as well as free private parking for guests who drive. Featuring a garden, the 4-star guest house has air-conditioned rooms with free WiFi, each with a private bathroom. The guest house has family rooms. The rooms in the guest house are fitted with a kettle. At Pensiunea Element rooms include a flat-screen TV with cable channels. A buffet breakfast is available each morning at the accommodation. The nearest airport is Sibiu International Airport, 74 km from Pensiunea Element.WiFi is available in all areas and is free of charge. Free private parking is possible on site (reservation is not needed). Pets are not allowed. All children are welcome. One child under 11 years stays free of charge when using existing beds. One child from 11 to 18 years is charged RON 25 per night when using existing beds. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 3. There is no capacity for cots in the room.",EUR 39 - EUR 78
Nasa Flora Otel,"Turkey's natural beauty, historic sites, sparkling sea and the difference with the world which has proven to Antalya, NASA Flora Hotel, Lara, we have opened to your service in the coastal band.The hotel has a balcony with sea and garden views, international phone, 2 channel music, swimming pool, terrace bar, pool bar, indoor and outdoor restaurant, delicious Turkish cuisine (breakfast and dinner (buffet) 24-hour service, TV lounge, lobby, Safety Deposit Box, Elevator, Billiards, beach bar, beach service and we believe you'll have a relaxed holiday in the cafe. Our hotel is 4 km from the city centre, the airport is 7 km from",EUR 51 - EUR 103
Gueden-pearl,"Offering garden views, Güden-Pearl in Antalya offers accommodation, a seasonal outdoor swimming pool, a bar, a shared lounge, a garden and a private beach area. Free WiFi is featured throughout the property. All units come with a seating area, a flat-screen TV with satellite channels and a private bathroom with a hairdryer, bidet and shower. A fridge and kettle are also offered. The aparthotel offers a continental or buffet breakfast. Güden-Pearl offers a children's playground. Both a bicycle rental service and a car rental service are available at the accommodation, while cycling can be enjoyed nearby. Konyaalti Beach is 750 metres from Güden-Pearl, while Antalya Aquarium is 4.3 km from the property. The nearest airport is Antalya, 24 km from the aparthotel, and the property offers a paid airport shuttle service.WiFi is available in all areas and is free of charge. Free public parking is possible on site (reservation is not needed). Pets are not allowed. All children are welcome. Up to two children under 6 years stay free of charge when using existing beds. One child under 1 year stays free of charge in a child's cot/crib. Up to two older children or adults are charged EUR 15 per",EUR 50 - EUR 100
Cosmos,,EUR 0 - EUR 0
Napa Plaza Hotel - Adults Only,Sejur Cipru - Napa Plaza Hotel - Adults Only,EUR 0 - EUR 0
Pera Inn,"This comfortable hotel is situated in Alanya area. The total number of bedrooms is 60. In addition, Wi-Fi access is offered at the property. As this accommodation features 24-hour reception, guests are always welcome. The younger guests are accommodated in baby cots (available on request). Those who dislike animals may enjoy their stay, as this hotel does not allow pets. Travellers arriving by car will appreciate parking available at Pera Hotel Alanya.",EUR 18 - EUR 37
Caporal,"EPS Location 1 and 2 With a stay at Hotel Caporal in Minori, you'll be a 3-minute drive from Maiori Beach and 10 minutes from Amalfi Beach. This beach hotel is 21.8 mi (35 km) fromRefundable",EUR 56 - EUR 113
White City Resort And Spa,"Property Desc:Property Location Located in Alanya, White City Resort Hotel - All Inclusive is a 2-minute drive from Sealanya and 8 minutes from Konakli Clock Tower Square. This 5-star property is 5.6 mi (9 km) from Sarapsa Hani Fortress.Rooms Make yourself at home in one of the 205 air-conditioned rooms featuring free minibar items and LED televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.Amenities Relax at the full-service spa, where you can enjoy massages. After a day at the private beach, you can enjoy other recreational amenities including a nightclub and a health club. Additional features at this property include complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge). Getting to nearby attractions is a breeze with the area shuttle (surcharge).Dining This property is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. Grab a bite at Ottoman, one of the property`s 3 restaurants, or stay in and take advantage of the 24-hour room service. Snacks are also",EUR 100 - EUR 201
Avena Resort & Spa Hotel,"Distance to the airport125km (Antalya)Center2.5 km (Antalya)Nearest hospital2.5 km (Antalya)Bus stop200 m.Historical places2.5 km Alanya CastleTo the beach150 mMain road125 m Standard roomOne double bed, One single bed, Sofa, Balcony, max accommodation 3 + 19040 m²Family roomTwo bedrooms with a double door, two single beds, two single beds, sofa, balcony, two rooms with Tv, two rooms with split air-conditioning max stay4 + 19544 m² Free Activities· Morning jimlastic· Step - Aerobic· Water games· Pool games· Beach Volleyball· Darts· Table tennis· Fitness Center· Hammam· Sauna· Night and Day Animations· Wi-fi (lobby only)· Mini bar (water, mineral water)· Dondruma (for children)İşletmeler için Google ÇeviriÇevirmen Araç SetiWeb Sitesi ÇevirmeniGlobal Pazar Fırsatları Aracı",EUR 0 - EUR 0
Alp Pasa,"This is located in Kaleici, the beautiful old city quarter of Antalya. The architecture of the ancient houses are reflected by the influences of different cultures.Fabulously Ottoman. Designed for pleasure.Beautiful high ceilings decorated with original Ottoman woodwork, and so spacious. A touch of added neo-classical in this oh-so comfortable environment. You will feel a wonderful feeling of peace and tranquility while staying here. All rooms are equipped with satellite television, mini bar, split air conditioning, direct dial telephone, hair dryer, safe box.This is a decorated in traditional ottoman style. During the summer months the evening buffet is set by the pool side in the courtyard covered by trees. During winter months one can enjoy romantic meals by the fire place.There are various beautiful ottoman style buildings (Konaks dating from mid 18th century to early 19th century)This is small with an old antique door covered by glass converted into a table.This hotel is ideal for those wishing to be in the city center and to experience the old Antalya. (06/08SB)",EUR 59 - EUR 118
KAFTANS CITY HOTEL,,EUR 0 - EUR 0
Mera Park,"With a stay at Mera Park Hotel in Antalya (Antalya City Centre), you'll be within a 15-minute drive of Clock Tower and Konyaalti Beach. This hotel is 6.7 mi (10.8 km) from Lara Beach and 2.1 mi (3.4 km) from Antalya Bazaar.",EUR 11 - EUR 22
Kleopatra Tower Apart Hotel,"When you stay at Kleopatra Tower Apart Hotel in Alanya, you'll be near the beach, within a 15-minute walk of Kleopatra Beach and Alanya Aquapark. This aparthotel is 1.1 mi (1.8 km) from Damlatas Caves and 1.6 mi (2.6 km) from Alanya Harbor.",EUR 13 - EUR 26
Limanaki Beach,"EPS Location 1 and 2 Located in Ayia Napa, Limanaki Beach Hotel is a 1-minute drive from Ayia Napa Monastery and 8 minutes from Nissi Beach. This family-friendly hotel is 2.8 mi (4.5Refundable",EUR 119 - EUR 239
